year;port_name;nuclear_available_from_year;maturity_factor;allocation_share;allocated_new_ship_loadings;allocated_refuellings;allocated_total_service_events;allocated_initial_fuel_loading_tons;allocated_refueling_tons;allocated_fuel_throughput_tons;allocated_initial_fuel_loading_pebbles;allocated_refueling_pebbles;allocated_fuel_throughput_pebbles;allocated_fresh_fuel_storage_m3;allocated_spent_fuel_storage_m3;allocated_waste_m3;allocated_truckloads
2051;Provideniya;2041;1.0;0.06956521739130435;4.591304347826087;5.982608695652174;10.57391304347826;11.939311594202872;15.662499999999996;24.148731884057966;1492413.9492753614;1957812.4999999984;3018591.4855072456;9755.2854596382;14165.915075015379;8534.866351552437;206.88695652173914
2051;Busan;2045;1.0;0.09999999999999999;6.6;8.6;15.2;17.16276041666663;22.514843749999994;34.71380208333332;2145345.052083332;2814355.4687499977;4339225.260416665;14023.222848229912;20363.502920334606;12268.870380356626;297.4
2051;Jebel Ali;2045;1.0;0.1217391304347826;8.034782608695652;10.469565217391304;18.504347826086956;20.893795289855024;27.40937499999999;42.26028079710144;2611724.4112318824;3426171.874999997;5282535.09963768;17071.74955436685;24790.35138127691;14936.016115216762;362.0521739130435
2051;Los Angeles;2050;0.75;0.061956521739130424;4.089130434782608;5.3282608695652165;9.417391304347824;10.63344938858693;13.949414062499994;21.50746433423912;1329181.1735733685;1743676.7578124984;2688433.04177989;8688.301112490271;12616.518113685568;7601.365344351387;184.25869565217388
2051;Algeciras;2050;0.75;0.09782608695652174;6.4565217391304355;8.41304347826087;14.869565217391305;16.78965692934779;22.025390624999996;33.959154211956516;2098707.116168477;2753173.828124998;4244894.2764945645;13718.37017761622;19920.818074240375;12002.155806870614;290.9347826086957
2051;Murmansk;2050;0.75;0.075;4.95;6.45;11.4;12.872070312499972;16.886132812499994;26.035351562499994;1609008.789062499;2110766.601562498;3254418.945312499;10517.417136172435;15272.627190250954;9201.65278526747;223.04999999999998
2052;Rotterdam;2037;1.0;0.10483870967741936;4.92741935483871;11.112903225806452;16.04032258064516;12.728074596774254;28.775768649193555;38.93911710349463;1591009.324596782;3596971.081149193;4867389.637936829;14668.669016693399;30299.849123720986;13762.219975831278;410.758064516129
2052;Singapore;2038;1.0;0.10887096774193548;5.116935483870968;11.540322580645162;16.657258064516128;13.217615927419416;29.882528981854843;40.43677545362904;1652201.9909274275;3735316.122731854;5054596.93170363;15232.848594258528;31465.227936171792;14291.536128747864;426.55645161290323
2052;Hamburg;2038;1.0;0.10483870967741936;4.92741935483871;11.112903225806452;16.04032258064516;12.728074596774254;28.775768649193555;38.93911710349463;1591009.324596782;3596971.081149193;4867389.637936829;14668.669016693399;30299.849123720986;13762.219975831278;410.758064516129
2052;Shanghai;2040;1.0;0.12096774193548386;5.685483870967741;12.82258064516129;18.508064516129032;14.686239919354906;33.20280997983871;44.929750504032256;1835779.9899193638;4150351.2474798374;5616218.813004033;16925.387326953918;34961.36437352421;15879.484587497627;473.9516129032258
